BOB,Speckled Tanager,Ixothraupis guttata,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
ATR,Rufous-tailed Jacamar,Galbula ruficauda,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BCN,Streaked Flycatcher,Myiodynastes maculatus,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
AUP,Red-crowned Woodpecker,Melanerpes rubricapillus,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BEJ,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BLVU,Black Vulture,Coragyps atratus,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BLPH,Black Phoebe,Sayornis nigricans,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
ETN,White-tipped Quetzal,Pharomachrus fulgidus,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
TRKI,Tropical Kingbird,Tyrannus melancholicus,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BMC,Brown-capped Vireo,Vireo leucophrys,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BSM,Ruddy-breasted Seedeater,Sporophila minuta,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
RUGD,Ruddy Ground Dove,Columbina talpacoti,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
AHA,Pale-vented Pigeon,Patagioenas cayennensis,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
GUS,Red-eared Parakeet,Pyrrhura hoematotis,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BCM,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
AOT,Green-breasted Mango,Anthracothorax prevostii,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
VKV,Stripe-tailed Yellow-Finch,Sicalis citrina,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BJT,Orange-billed Nightingale-Thrush,Catharus aurantiirostris,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BSL,Yellow-bellied Seedeater,Sporophila nigricollis,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
AFY,Stripe-throated Hermit,Phaethornis striigularis,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,previously lumped with little hermit,
VGH,Beryl-spangled Tanager,Tangara nigroviridis,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
HHA,Blue-chinned Sapphire,Chlorestes notata,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
BEE,Blue-and-white Swallow,Pygochelidon cyanoleuca,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
VRZ,Yellow Oriole,Icterus nigrogularis,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
YDF,Cocoa Woodcreeper,Xiphorhynchus susurrans,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,previously lumped with buff-throated,
NNK,Rufous-fronted Thornbird,Phacellodomus rufifrons,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,previouly with plain-fronted thornbird,
MPO,Pale-edged Flycatcher,Myiarchus cephalotes,,7/12/89,Venezuela,Carabobo,,,Maracay & Henry Pittier NP,,,,,,
MPL,Venezuelan Flycatcher,Myiarchus venezuelensis,,7/5/89,Venezuela,Distrito Federal,,,Margarita Island,,,,,,
GCC,American Flamingo,Phoenicopterus ruber,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
SCIB,Scarlet Ibis,Eudocimus ruber,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
REEG,Reddish Egret,Egretta rufescens,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
GREG,Great Egret,Ardea alba,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
TRHE,Tricolored Heron,Egretta tricolor,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
CAEG,Cattle Egret,Bubulcus ibis,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
SNEG,Snowy Egret,Egretta thula,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
BBN,Pied Water-Tyrant,Fluvicola pica,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
ACR,Savanna Hawk,Buteogallus meridionalis,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
AVK,Pale-breasted Spinetail,Synallaxis albescens,,7/5/89,Venezuela,Federal Dependencies,,,Margarita Island,,,,,,
ABZ,Lesser Yellow-headed Vulture,Cathartes burrovianus,,7/5/89,Venezuela,Federal Dependencies,,,Margarita Island,,,,,,
COGA,Common Gallinule,Gallinula galeata,,7/5/89,Venezuela,Federal Dependencies,,,Margarita Island,,,,,,
AGM,Wattled Jacana,Jacana jacana,,7/5/89,Venezuela,Federal Dependencies,,,Margarita Island,,,,,,
AVK,Pale-breasted Spinetail,Synallaxis albescens,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
ABZ,Lesser Yellow-headed Vulture,Cathartes burrovianus,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
COGA,Common Gallinule,Gallinula galeata,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
AGM,Wattled Jacana,Jacana jacana,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
RIKI,Ringed Kingfisher,Megaceryle torquata,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
GRHE,Green Heron,Butorides virescens,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
LMR,Striated Heron,Butorides striata,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
LBTE,Large-billed Tern,Phaetusa simplex,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
PBGR,Pied-billed Grebe,Podilymbus podiceps,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
GBTE,Gull-billed Tern,Gelochelidon nilotica,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
ANHI,Anhinga,Anhinga anhinga,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
LIMP,Limpkin,Aramus guarauna,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
GLIB,Glossy Ibis,Plegadis falcinellus,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
BSG,Blue-black Grassquit,Volatinia jacarina,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
BSKI,White-tailed Kite,Elanus leucurus,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
SNKI,Snail Kite,Rostrhamus sociabilis,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
WHIP,White-cheeked Pintail,Anas bahamensis,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
MADU,Masked Duck,Nomonyx dominicus,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
ALS,Striped Cuckoo,Tapera naevia,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
GRAK,Gray Kingbird,Tyrannus dominicensis,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
ATR,Rufous-tailed Jacamar,Galbula ruficauda,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
BME,Scrub Greenlet,Hylophilus flavipes,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
BAE,Common Tody-Flycatcher,Todirostrum cinereum,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,recorded as Maracaibo tody flycatcher (short-tailed) but not in right range - closeby though,
ADL,Rufous-vented Chachalaca,Ortalis ruficauda,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
DBG,Red-legged Tinamou,Crypturellus erythropus,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
AXX,White-fringed Antwren,Formicivora grisea,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
GKIN,Green Kingfisher,Chloroceryle americana,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
VEFL,Vermilion Flycatcher,Pyrocephalus rubinus,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
VTH,Yellow-hooded Blackbird,Chrysomus icterocephalus,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
JHN,Bare-eyed Pigeon,Patagioenas corensis,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
WTDO,White-tipped Dove,Leptotila verreauxi,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
WHIB,White Ibis,Eudocimus albus,,7/14/89,Venezuela,Falcon,,,Morrocoy,,,,,,
GXT,Yellow-shouldered Parrot,Amazona barbadensis,,7/16/89,Venezuela,Falcon,,,Chichiriviche and Coro,,,,,,
BPW,White-lined Tanager,Tachyphonus rufus,,7/16/89,Venezuela,Falcon,,,Chichiriviche and Coro,,,,,,
BTG,Grassland Yellow-Finch,Sicalis luteola,,7/16/89,Venezuela,Falcon,,,Chichiriviche and Coro,,,,,,
BQO,Common Chlorospingus,Chlorospingus flavopectus,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
BMN,Rufous-browed Peppershrike,Cyclarhis gujanensis,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
VGB,Blue-necked Tanager,Stilpnia cyanicollis,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
BNP,Three-striped Warbler,Basileuterus tristriatus,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
UYA,Fulvous-headed Tanager,Thlypopsis fulviceps,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
SLAR,Slate-throated Redstart,Myioborus miniatus,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
AVY,Buff-fronted Foliage-gleaner,Philydor rufum,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
ASH,Collared Trogon,Trogon collaris,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
AQX,White-vented Plumeleteer,Chalybura buffonii,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
ADC,Yellow-headed Caracara,Milvago chimachima,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
AHE,Ruddy Pigeon,Patagioenas subvinacea,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
MADU,Masked Duck,Nomonyx dominicus,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
LEGR,Least Grebe,Tachybaptus dominicus,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
BOB,Speckled Tanager,Ixothraupis guttata,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
MHX,Yellow-breasted Flycatcher,Tolmomyias flaviventris,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,aka ochre-lored flatbill,
AXE,Great Antshrike,Taraba major,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
BTT,Rufous-collared Sparrow,Zonotrichia capensis,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
AEZ,Gray-cowled Wood-Rail,Aramides cajaneus,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
JNM,Lined Quail-Dove,Zentrygon linearis,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
DCX,Band-tailed Guan,Penelope argyrotis,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
ALQ,Squirrel Cuckoo,Piaya cayana,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
MWJ,Golden-winged Manakin,Masius chrysopterus,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
GKIS,Great Kiskadee,Pitangus sulphuratus,,7/18/89,Venezuela,Lara,,,Yacambu NP,,,,,,
NNK,Rufous-fronted Thornbird,Phacellodomus rufifrons,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,plain thornbird?,
HBN,Fork-tailed Palm-Swift,Tachornis squamata,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BTE,Saffron Finch,Sicalis flaveola,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BTX,Red-breasted Meadowlark,Leistes militaris,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ABW,Comb Duck,Sarkidiornis sylvicola,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ABT,White-faced Whistling-Duck,Dendrocygna viduata,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
LOG,Bare-faced Ibis,Phimosus infuscatus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
AGK,Southern Lapwing,Vanellus chilensis,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
DSTK,Double-striped Thick-knee,Burhinus bistriatus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
KDR,South American Snipe,Gallinago paraguaiae,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ROHA,Roadside Hawk,Rupornis magnirostris,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
LLE,Whistling Heron,Syrigma sibilatrix,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
CRHA,Crane Hawk,Geranospiza caerulescens,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
AVK,Pale-breasted Spinetail,Synallaxis albescens,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BSG,Blue-black Grassquit,Volatinia jacarina,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
VLT,Gray Seedeater,Sporophila intermedia,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
GHU,Hoatzin,Opisthocomus hoazin,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BUT,Yellow-rumped Cacique,Cacicus cela,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
VMZ,Large-billed Seed-Finch,Sporophila crassirostris,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ALX,Greater Ani,Crotophaga major,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BAE,Common Tody-Flycatcher,Todirostrum cinereum,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
SCIB,Scarlet Ibis,Eudocimus ruber,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
AGM,Wattled Jacana,Jacana jacana,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
PUGA,Purple Gallinule,Porphyrio martinica,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
WHIB,White Ibis,Eudocimus albus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
GLIB,Glossy Ibis,Plegadis falcinellus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
LEGR,Least Grebe,Tachybaptus dominicus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
LBHE,Little Blue Heron,Egretta caerulea,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
CAEG,Cattle Egret,Bubulcus ibis,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
GREG,Great Egret,Ardea alba,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ADC,Yellow-headed Caracara,Milvago chimachima,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
GBAN,Groove-billed Ani,Crotophaga sulcirostris,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
SBAN,Smooth-billed Ani,Crotophaga ani,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
WOST,Wood Stork,Mycteria americana,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ACS,Black-collared Hawk,Busarellus nigricollis,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ACQ,Great Black Hawk,Buteogallus urubitinga,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
GKIS,Great Kiskadee,Pitangus sulphuratus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BCD,Lesser Kiskadee,Pitangus lictor,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BGH,Black-capped Donacobius,Donacobius atricapilla,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
NMD,Yellow-chinned Spinetail,Certhiaxis cinnamomeus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
AXG,Barred Antshrike,Thamnophilus doliatus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
AVD,Lineated Woodpecker,Dryocopus lineatus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
KND,Pied Lapwing,Vanellus cayanus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
HBKI,Hook-billed Kite,Chondrohierax uncinatus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
OSPR,Osprey,Pandion haliaetus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BOX,Thick-billed Euphonia,Euphonia laniirostris,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BCT,White-winged Becard,Pachyramphus polychopterus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BUV,Crested Oropendola,Psarocolius decumanus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
AJS,Chestnut-fronted Macaw,Ara severus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
BHG,Buff-breasted Wren,Cantorchilus leucotis,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ABH,Rufescent Tiger-Heron,Tigrisoma lineatum,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ROSP,Roseate Spoonbill,Platalea ajaja,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
YCNH,Yellow-crowned Night-Heron,Nyctanassa violacea,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
LIMP,Limpkin,Aramus guarauna,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ABO,Capped Heron,Pilherodius pileatus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
UNR,Yellow-browed Sparrow,Ammodramus aurifrons,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
AWT,Straight-billed Woodcreeper,Dendroplex picus,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
MUDU,Muscovy Duck,Cairina moschata,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
VRZ,Yellow Oriole,Icterus nigrogularis,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
ADD,Laughing Falcon,Herpetotheres cachinnans,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
SNKI,Snail Kite,Rostrhamus sociabilis,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
MRO,White-bearded Flycatcher,Phelpsia inornata,,7/21/89,Venezuela,Barinas,,,Guanare and Barinas,,,,,,
AVK,Pale-breasted Spinetail,Synallaxis albescens,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
TRKI,Tropical Kingbird,Tyrannus melancholicus,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
AHQ,Gray-fronted Dove,Leptotila rufaxilla,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
AOQ,White-necked Jacobin,Florisuga mellivora,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
AQL,Steely-vented Hummingbird,Amazilia saucerottei,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
MTH,Golden-breasted Fruiteater,Pipreola aureopectus,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BXJ,Streaked Saltator,Saltator striatipectus,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
HJM,Golden-tailed Sapphire,Chrysuronia oenone,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BOC,Bay-headed Tanager,Tangara gyrola,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BOB,Speckled Tanager,Ixothraupis guttata,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
VGB,Blue-necked Tanager,Stilpnia cyanicollis,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BPU,White-shouldered Tanager,Tachyphonus luctuosus,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
MJZ,Fuscous Flycatcher,Cnemotriccus fuscatus,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BOL,Blue Dacnis,Dacnis cayana,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BCG,Rusty-margined Flycatcher,Myiozetetes cayanensis,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
TRPA,Tropical Parula,Setophaga pitiayumi,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
AVQ,Spotted Barbtail,Premnoplex brunnescens,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
GOLW,Golden-crowned Warbler,Basileuterus culicivorus,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
MJW,Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
MCC,Golden-faced Tyrannulet,Zimmerius chrysops,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BPX,Red-crowned Ant-Tanager,Habia rubica,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BON,Green Honeycreeper,Chlorophanes spiza,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BOX,Thick-billed Euphonia,Euphonia laniirostris,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
MGK,Variegated Bristle-Tyrant,Phylloscartes poecilotis,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
TPP,Paramo Pipit,Anthus bogotensis,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
ATU,Red-headed Barbet,Eubucco bourcierii,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
MJX,Cliff Flycatcher,Hirundinea ferruginea,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
QBC,Great Thrush,Turdus fuscater,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
OLCO,Neotropic Cormorant,Phalacrocorax brasilianus,,7/23/89,Venezuela,Barinas,,,Soledad Road,,,,,,
BTT,Rufous-collared Sparrow,Zonotrichia capensis,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
HPM,Tyrian Metaltail,Metallura tyrianthina,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
HNZ,Orange-throated Sunangel,Heliangelus mavors,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
MMG,Streak-throated Bush-Tyrant,Myiotheretes striaticollis,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
MLX,Brown-backed Chat-Tyrant,Ochthoeca fumicolor,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
MNW,Rufous-tailed Tyrant,Knipolegus poecilurus,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
VOD,Merida Flowerpiercer,Diglossa gloriosa,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
MDU,White-throated Tyrannulet,Mecocerculus leucophrys,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
RGH,Brown-bellied Swallow,Orochelidon murina,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
MBW,Tawny-rumped Tyrannulet,Phyllomyias uropygialis,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
AQN,Rufous-tailed Hummingbird,Amazilia tzacatl,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
VBA,Blue-capped Tanager,Thraupis cyanocephala,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
BXO,Andean Teal,Anas andium,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
VHZ,Plumbeous Sierra-Finch,Geospizopsis unicolor,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
GREJ,Green Jay,Cyanocorax yncas,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
BUD,Giant Cowbird,Molothrus oryzivorus,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
AZP,Torrent Tyrannulet,Serpophaga cinerea,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
PVL,White-capped Dipper,Cinclus leucocephalus,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
UWL,Blue-backed Conebill,Conirostrum sitticolor,,7/25/89,Venezuela,Merida,,,Merida & Santo Domingo,,,,,,
AUU,Red-rumped Woodpecker,Dryobates kirkii,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
LBTE,Large-billed Tern,Phaetusa simplex,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
ABM,Cocoi Heron,Ardea cocoi,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
LBHE,Little Blue Heron,Egretta caerulea,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
WOST,Wood Stork,Mycteria americana,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
ACR,Savanna Hawk,Buteogallus meridionalis,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
RET,White-winged Swallow,Tachycineta albiventer,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
ACS,Black-collared Hawk,Busarellus nigricollis,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
WTHA,White-tailed Hawk,Geranoaetus albicaudatus,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
DSTK,Double-striped Thick-knee,Burhinus bistriatus,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
AGK,Southern Lapwing,Vanellus chilensis,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
KND,Pied Lapwing,Vanellus cayanus,,7/27/89,Venezuela,Apure,,,Bruzual to Santo Lazardo NP,,,,,,
ADD,Laughing Falcon,Herpetotheres cachinnans,,7/30/89,Venezuela,Guarico,,,Corozo Pando & Las Ventanas,,,,,,
BCMA,Brown-chested Martin,Progne tapera,,7/30/89,Venezuela,Guarico,,,Corozo Pando & Las Ventanas,,,,,,
VLT,Gray Seedeater,Sporophila intermedia,,7/30/89,Venezuela,Guarico,,,Corozo Pando & Las Ventanas,,,,,,
