Family,Common Name,Specific Name,Date,Location,Country,State,Total
,Northern Bobwhite,Colinus virginianus,,Chase County,,Nebraska,
,Scaled Quail,Callipepla squamata,6/9/18,Portal,,Arizona,
Phasianidae,Chukar,Alectoris Chukar,,Wilderness of No Return,,Idaho,
,Dusky Grouse,,,Wilderness of No Return,,Idaho,
,Greater Prairie-Chicken,Tympanuchus cupido,,Birchard Lake,,Nebraska,
,Greater Sage-Grouse,Centrocercus urophasianus,5/18/20,Henefer,,Utah,
,Gunnison Sage-Grouse,Centrocercus minimus,4/18/18,Gunnison,,Colorado,
,Ring-necked Pheasant,Phasianus colchicus,,Calamus Reservoir,,Nebraska,
,Rock Ptarmigan,,,Talkeetna Mts.,,Alaska,
,Sharp-tailed Grouse,Tympanuchus phasianellus,,Sandhills,,Nebraska,
,Sooty Grouse,,7/17,Mt. Adams,,Washington,
,White-tailed Ptarmigan,Lagopus leucurus,,Mount Evans,,Colorado,
,Wild Turkey,Meleagris gallopavo,,Backyard,,Nebraska,
,Willow Ptarmigan,,,Talkeetna Mts.,,Alaska,
Gruidae,Sandhill Crane,Grus canadensis,,Platte River,,Nebraska,
,Whooping Crane,Grus Americana,,Platte River,,Nebraska,
,Common Crane,,,Kearney,,Nebraska ,
Rallidae,American Coot,Fulica americana,,Walnut Creek,,Nebraska,
,Clapper Rail,,5/20/22,Bolivar Peninsula,,New Jersey,
,Common Gallinule,Galinula galataea,,,,Texas,
,Purple gallinule ,,,,,Texas,
,King Rail,,5/20/22,Bolivar Peninsula ,,Texas,
,Sora,Porzana carolina,12/8/20,Dos Palmas Preserv,,California,
,Virginia Rail,Rallus limicola,5/27/18,Tuttle Marsh,,Michigan,
Haematopidae,Black Oystercatcher,Haematopus bachmani,,Big Sir,,California,
,American Oystercatcher,Haematopus palliatus,8/8/09,Todd's Point,,Connecticut,
Recurvirostridae,Black-necked Stilt,Himantopus mexicanus,,Phoenix,,Arizona,
,American avocet,Avocetta recurvirostra,,Big Sir,,California,
Charadriidae,American Golden Plover,Pluvialis dominica,10/30/11,Boyer Chute,,Nebraska,
,Black-bellied Plover,Pluvialis squatarola,Pesach 09,Bay Lands,,California,
,Killdeer,Charadrius vociferus,,Lake McConaughy,,Nebraska,
,Piping Plover,Charadrius melodus,8/15/10,Little Compton,,Rhode Island,
,Semipalmated Plover,Charadrius semipalmatus,8/809,Todd's Point,,Connecticut,
,Snowy Plover,Charadrius alexandrii,,Pismo Beach,,California,
