Family,Common Name,Specific Name,Date,Location,Country,State,Total
,Canada Warbler,Cardellina canadensis,5/26/18,Tawas Point,,Michigan,
,Cape May Warbler,,5/11/22,Bahai Temple,,Illinois,
,Cerulean Warbler,Setophaga cerulea,5/27/18,Au Gres River,,Michigan,
,Chestnut-sided Warbler,Setophaga pensylvanica,5/26/18,Tawas Point,,Michigan,
,Common Yellowthroat,,,Fontenelle Forest,,Nebraska,
,Golden-winged Warbler,Vermivora chrysoptera,5/27/18,Au Gres River,,Michigan,
,Grace's Warbler,Setophaga graciae,6/9/18,Cave Creek Canyon,,Arizona,
,Hooded Warbler,,4/24/21,Hooks Woods,,Texas,
,Kentucky Warbler,,4/24/21,Hooks Woods,,Texas,
,Kirtland's Warbler,Setophaga kirtlandii,5/26/18,Tawas Point,,Michigan,
,Louisiana Waterthrush,Parkesia motacilla,5/4/18,Fontenelle Forest,,Nebraska,
,Lucy's Warbler,Oreothlypis luciae,6/12/18,Patagonia,,Arizona,
,Macgillivray's Warbler,,5/30/20,Robb's Trail,,Utah,
,Magnolia Warbler,Setophaga magnolia,5/27/18,Tawas Point,,Michigan,
,Mourning Warbler,Geothlypis philadelphia,5/27/18,Au Gres River,,Michigan,
,Nashville Warbler,,,Backyard,,Nebraska,
,Northern Parula,,,Fontenelle Forest,,Nebraska,
,Northern Waterthrush,,,Fontenelle Forest,,Nebraska,
,Orange-crowned Warbler,,,Backyard,,Nebraska,
,Ovenbird,Seiurus auracapilla,5/4/18,Fontenelle Forest,,Nebraska,
,Painted Redstart,,,Madera Canyon,,Arizona,
,Palm Warbler,,,Vero Beach,,Florida,
,Pine Warbler,Setophaga pinus,5/26/18,Tawas Point,,Michigan,
,Prothonotary Warbler,,,Fontenelle Forest,,Nebraska,
,Tennessee Warbler,,,Backyard,,Nebraska,
,Townsend's Warbler,,,Pacifica ,,California ,
,Virginia's Warbler,Leiothlypis virginiae,,Hall Canyon Ranch,,Colorado,
,Wilson's Warbler,,,Shwayder Camp,,Colorado,
,Worm-eating Warbler,,4/24/18,Hooks Woods,,Texas,
,Yellow Warbler,,,Fontenelle Forest,,Nebraska,
,Yellow-breasted Chat,,,Calamus Reservoir,,Nebraska,
,Yellow-rumped Warbler,,,Scottsdale,,Arizona,
,Yellow-throated Warbler,,5/11/19,Jakes Landing,,New Jersey ,
Thraupidae,Hepatic Tanager,Piranga flava,6/9/18,Chiricahua National Forest,,Arizona,
,Scarlet Tanager,Piranga olivacea,5/27/18,Au Gres River,,Michigan,
,Summer Tanager,Piranga rubra,6/12/18,Patagonia,,Arizona,
,Western Tanager,,,W.O.N.R.,,Idaho,
Emberizidae,Abert's Towhee,,,Scottsdale,,Arizona,
,American Tree Sparrow,,,Desoto Bend,,Nebraska,
,Baird's Sparrow,Ammodramus bairdii,6/12/09,Lemmon,,South Dakota,
,Bell’s Sparrow,Artemisiospiza belli,4/6/19,Carrizo plains,,California,
,Black-throated Sparrow,Amphispiza bilineata,,Madera Canyon scrub,,Arizona,
,Brewer's Sparrow,,,Craters of The Moon,,Idaho,
,California Towhee,,,Los Angeles,,California,
,Canyon Towhee,,,Madera Canyon scrub,,Arizona,
,Chestnut-collared Longspur,Calcarius,6/12/09,Lemmon,,South Dakota,
,Chipping Sparrow,,,Backyard,,Nebraska,
,Clay-colored Sparrow,,,Backyard,,Nebraska,
,Dark-eyed Junco,,,Backyard,,Nebraska,
,Dickcissel,,,F.I.I.K.,,Nebraska,
,Eastern Towhee,,,Backyard,,Nebraska ,
,Field Sparrow,,,Neal Woods,,Nebraska,
,Fox Sparrow,Passerella iliaca,,Backyard,,Nebraska,
,Golden-crowned Sparrow,,,Stanford,,California,
,Grasshopper Sparrow,,,Calamus Reservoir,,Nebraska,
,Green-tailed Towhee,,,Madera Canyon scrub,,Arizona,
,Harris' Sparrow,,,Gifford Farm,,Nebraska,
,Lapland Longspur,,12/25/08,F.I.I.K.,,Nebraska,
,Lark Bunting,,,F.I.I.K.,,South Dakota,
,Lark Sparrow,,,Little Bighorn,,Montana,
,Lincoln's Sparrow,,,Backyard,,Nebraska,
,Nelson's Sparrow,Ammospiza nelsoni,11/26/22,Mission Bay,,California,
,Rufous-crowned Sparrow,,,Madera Canyon scrub ,,Arizona,
,Rufous-winged Sparrow,,,Madera Canyon scrub ,,Arizona,
,Savannah Sparrow,,,N.C.P.R.P.R.,,Nebraska,
,Seaside Sparrow,,5/11/19,Jakes Landing,,New Jersey,
,Snow Bunting,,12/25/08,F.I.I.K.,,Nebraska,
,Song Sparrow,,,Vail,,Colorado,
,Spotted Towhee,,,Backyard,,Nebraska,
,Swamp Sparrow,,,Fontenelle Forest,,Nebraska,
,Vesper Sparrow,Pooecetes gramineus,6/12/09,Lemmon,,South Dakota,
,White-crowned Sparrow,,,Phoenix,,Arizona,
,White-throated Sparrow,,,Backyard,,Nebraska,
,Yellow-eyed Junco,,,Madera Canyon,,Arizona,
Cardinalidae,Black-headed Grosbeak,,,San Simeon,,California,
,Indigo Bunting,,,Schram Park,,Nebraska,
,Lazuli Bunting,,,RMBL ,,Colorado,
,Northern Cardinal,,,Backyard,,Nebraska,
,Painted Bunting,,,Vero Beach,,Florida,
,Pyrrhuloxia,Cardinalis sinuatus,6/11/18,Portal,,Arizona,
,Rose-breasted Grosbeak,,,Fontenelle Forest,,Nebraska,
,Varied Bunting,Passerina versicolor,6/13/18,Patagonia,,Arizona,
Icteridae,Baltimore Oriole,,,Fontenelle Forest,,Nebraska,
,Boat-tailed Grackle,,,Vero Beach,,Florida,
,Bobolink,,6/12/09,Lemmon,,South Dakota,
,Brewer's Blackbird,,,Neal Woods,,Nebraska,
,Bronzed Cowbird,Molothrus aeneus,6/10/18,Portal,,Arizona,
,Brown-headed Cowbird,,,Backyard,,Nebraska,
,Bullock's Oriole,,5/12/18,CU Boulder Campus,,Colorado,
,Common Grackle,,,Backyard,,Nebraska,
,Eastern Meadowlark,,,F.I.I.K.,,Nebraska,
,Great-tailed Grackle,,,Phoenix,,Arizona,
,Hooded Oriole,,,Palo alto,,California,
,Orchard Oriole,,,Fontenelle Forest,,Nebraska,
,Red-winged Blackbird,,,F.I.I.K.,,Nebraska,
,Rusty Blackbird,,,Neal woods,,Nebraska,
,Scott's Oriole,Icterus parisorum,6/10/18,Portal,,Arizona,
,Tricolored Blackbird ,,,Central Valley,,California ,
,Western Meadowlark,,,F.I.I.K.,,Nebraska,
,Yellow-headed Blackbird,,,Eastern nebraska,,Nebraska,
Ciconiidae,Wood Stork,Mycteria Americana,12/30/16,Vero Beach,,Florida,
Anhingidae,Anhinga,Anhinga Anhinga,12/30/16,Vero Beach,,Florida,
Threskiornithidae,Glossy Ibis,,12/30/16,Vero Beach,,Florida,
,Roseate Spoonbill,,12/30/16,Vero Beach,,Florida,
,White Ibis,,12/30/16,Vero Beach,,Florida,
,White-faced Ibis,Plegadus chihi,5/1/18,Waneka Lake Mudflats,,Colorado,
Aramidae,Limpkin,Aramis guarana,,,,Florida,
